"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Towards an adult learner model in an online learning environment","A. Abyaa; M. K. Idrissi; S. Bennani","RIME Team-Networking, Mohammed V University, In Rabat, Morocco; RIME Team-Networking, Mohammed V University, In Rabat, Morocco; RIME Team-Networking, Mohammed V University, In Rabat, Morocco","2016 15th International Conference on Information Technology Based Higher Education and Training (ITHET)","1 Dec 2016","2016","","","1","5","Online learning environments are in a continuous and rapid evolution. Multiple approaches are used to model these environments, but only a few of them deal with adult education, which is becoming more and more important, as adult learners are increasingly interested in online education. In fact, learner models-, which are the foundation of adaptive learning systems-that exist nowadays, are limited to modeling only a few learner's characteristics such as learner's knowledge and competencies, but they neglect other parameters that are as important for the adult learner. This paper aims to identify adult learners' different characteristics, and to define a taxonomy that can aid the design of a model that incorporate the adult learner in an adaptive learning environment.","","978-1-5090-0778-3","10.1109/ITHET.2016.7760735","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7760735","learner characteristics;adult learner;learner model;adaptive e-learning;taxonomy","Adaptation models;Learning systems;Adaptive systems;Taxonomy;Education;Computational modeling;Data models","distance learning;further education","adult learner model;online learning environment;adult education;online education;adaptive learning systems","","4","","16","IEEE","1 Dec 2016","","","IEEE","IEEE Conferences"
"Deep Knowledge Tracing and Dynamic Student Classification for Knowledge Tracing","S. Minn; Y. Yu; M. C. Desmarais; F. Zhu; J. -J. Vie","Department of Computer Engineering, Polytechnique Montreal, Canada; Digital Content and Media Sciences Research Division, National Institute of Informatics, Japan; Department of Computer Engineering, Polytechnique Montreal, Canada; School of Information Systems, Singapore Management University, Singapore; RIKEN Center of Advanced Intelligence Project, Japan","2018 IEEE International Conference on Data Mining (ICDM)","30 Dec 2018","2018","","","1182","1187","In Intelligent Tutoring System (ITS), tracing the student's knowledge state during learning has been studied for several decades in order to provide more supportive learning instructions. In this paper, we propose a novel model for knowledge tracing that i) captures students' learning ability and dynamically assigns students into distinct groups with similar ability at regular time intervals, and ii) combines this information with a Recurrent Neural Network architecture known as Deep Knowledge Tracing. Experimental results confirm that the proposed model is significantly better at predicting student performance than well known state-of-the-art techniques for student modelling.","2374-8486","978-1-5386-9159-5","10.1109/ICDM.2018.00156","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594965","Student model, Deep knowledge tracing, K-means clustering, RNNs, LSTMs","Knowledge engineering;Data mining;Recurrent neural networks;Predictive models;Data models;Computational modeling;Standards","intelligent tutoring systems;learning (artificial intelligence);neural nets;recurrent neural nets;user modelling","student performance;student modelling;dynamic student classification;supportive learning instructions;deep knowledge tracing;intelligent tutoring system","","48","","23","IEEE","30 Dec 2018","","","IEEE","IEEE Conferences"
"Student Model for an Intelligent Language Tutoring System","P. D. Reddy; M. Sasikumar","SIES Graduate School of Technology, Navi Mumbai, India; CDAC, Mumbai, India","2014 IEEE 14th International Conference on Advanced Learning Technologies","22 Sep 2014","2014","","","441","443","Effective teaching-learning process consists of identifying gaps in the student knowledge and filling the gaps by personalized teaching, which is difficult in classroom teaching. An Intelligent Tutoring System (ITS) provides personalized instructions to the students based on the student knowledge level and learning preferences. In ITS, the student model plays an important role, as it represents the student knowledge state, which is used to generate lessons, problems, feedback and guidance in a personalized manner. This paper describes student model for an Intelligent Language Tutoring System to learn verb/noun inflection grammar rules of Telugu language. The student model is used to represent the confidence level of a student in applying each grammar rule, which is used by tutor to generate problems to improve in weak areas. A pilot study is done to measure the effectiveness of the system.","2161-377X","978-1-4799-4038-7","10.1109/ICALT.2014.132","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6901506","Effective Teaching-learning;Intelligent Language Tutoring System;Student Model;Learning by doing","Artificial intelligence;Grammar;Education;Analytical models;Computational modeling;Vocabulary;Context","grammars;intelligent tutoring systems;natural language processing;teaching","student model;intelligent language tutoring system;teaching-learning process;student knowledge;personalized teaching;classroom teaching;ITS;personalized instructions;student knowledge level;learning preferences;student knowledge state;verb-noun inflection grammar rules learning;Telugu language","","7","","12","IEEE","22 Sep 2014","","","IEEE","IEEE Conferences"
"Student Modeling and Analysis in Adaptive Instructional Systems","J. Liang; R. Hare; T. Chang; F. Xu; Y. Tang; F. -Y. Wang; S. Peng; M. Lei","Macao Institute of Systems Engineering, Macau University of Science and Technology, Macao, China; Department of Electrical and Computer Engineering, Rowan University, Glassboro, NJ, USA; Teachers College, Columbia University, New York, NY, USA; Squirrel AI Learning by Yixue Education Inc., Highland Park, NJ, USA; Department of Electrical and Computer Engineering, Rowan University, Glassboro, NJ, USA; State Key Laboratory of Management and Control for Complex Systems, Inst. of Automation, Chinese Academy of Sciences, Beijing, China; Department of Intelligent Systems, Graduate School of Informatics, Nagoya University, Nagoya, Japan; China Academy of Information and Communications Technology, Beijing, China","IEEE Access","9 Jun 2022","2022","10","","59359","59372","There is a growing interest in developing and implementing adaptive instructional systems to improve, automate, and personalize student education. A necessary part of any such adaptive instructional system is a student model used to predict or analyze learner behavior and inform adaptation. To help inform researchers in this area, this paper presents a state-of-the-art review of 11 years of research (2010-2021) in student modeling, focusing on learner characteristics, learning indicators, and foundational aspects of dissimilar models. We mainly emphasize increased prediction accuracy when using multidimensional learner data to create multimodal models in real-world adaptive instructional systems. In addition, we discuss challenges inherent in real-world multimodal modeling, such as uncontrolled data collection environments leading to noisy data and data sync issues. Finally, we reinforce our findings and conclusions through an industry case study of an adaptive instructional system. In our study, we verify that adding multiple data modalities increases our model prediction accuracy from 53.3% to 69%. At the same time, the challenges encountered with our real-world case study, including uncontrolled data collection environment with inevitably noisy data, calls for synchronization and noise control strategies for data quality and usability.","2169-3536","","10.1109/ACCESS.2022.3178744","National Science Foundation(grant numbers:1913809); Division of Undergraduate Education (DUE); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9784853","Adaptive instructional systems;student modeling;multimodal learning analytics","Adaptation models;Artificial intelligence;Predictive models;Analytical models;Adaptive systems;Ontologies;Mathematical models","computer aided instruction;data handling;human factors;user modelling","uncontrolled data collection environment;noisy data;data sync issues;adaptive instructional system;model prediction accuracy;student model;dissimilar models;multidimensional learner data;multimodal models;real-world adaptive instructional systems;real-world multimodal modeling","","4","","98","CCBY","30 May 2022","","","IEEE","IEEE Journals"
"A conceptual framework for enhancing the motivation in an open learner model learning environment","Y. Sek; E. McKay; H. Deng","Faculty of Information and Communication Technology, Universiti Teknikal Malaysia, Melaka Melaka, Malaysia; School of Business IT and Logistics RMIT University Melbourne, Victoria, Australia; School of Business IT and Logistics RMIT University Melbourne, Victoria, Australia","2014 IEEE Conference on e-Learning, e-Management and e-Services (IC3e)","9 Apr 2015","2014","","","105","110","Rapid advances in information and communications technology offer new challenges and opportunities for web-mediated instructions. User-friendly interface design visualization tools directly influence the sustainability of learners' motivation to continuously engage with the instruction. This paper proposes a conceptual framework for enhancing the motivation of learners in an open learner model environment. Such a framework incorporates six motivational open learner model tools, which are in alignment with the attention (A), relevance (R), confidence (C), and satisfaction (S) model's motivational components respectively. The integration of these tools not only will enhance learners' motivation in engaging with open learner models, but also assist learners to sustain their motivation in dealing with this instruction. The findings of this study will assist designers to develop a more effective open learner model to enhance and sustain learners' learning motivation in technology-assisted learning environments.","","978-1-4799-7177-0","10.1109/IC3e.2014.7081250","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7081250","Motivation model;open learner model;technology-assisted learning","Electronic learning;Visualization;Conferences;Adaptation models;Electronic mail","computer aided instruction;data visualisation;Internet;user interfaces","open learner model learning environment;information and communications technology;Web-mediated instructions;user-friendly interface design visualization tools;learner motivation;open learner model environment;motivational components;open learner models;technology-assisted learning environments","","3","","28","IEEE","9 Apr 2015","","","IEEE","IEEE Conferences"
"Computational Intelligence Approaches for Student/Tutor Modelling: A Review","S. Sani; T. N. M. Aris","Department of Computer Science University, Selangor, Malaysia; Department of Computer Science University, Selangor, Malaysia","2014 5th International Conference on Intelligent Systems, Modelling and Simulation","1 Oct 2015","2014","","","72","76","The intelligent tutoring system (ITS) is an educational software system that provides personalized and adaptive tutoring to students based on their needs, profiles and preferences. The tutor model and student model are two dependent components of any ITS system. The goal of any ITS system is to help the students to achieve maximum learning gain and improve their engagements to the systems by capturing the student's interests through the system's adaptive behavior. In other words an ITS system is always developed with the aim of providing an immediate and efficient solution to student's learning problems. In recent years a lot of work has been devoted to improving student and tutor models in order enhance the teaching and learning activities within the ITS systems. The aim of this paper is to investigate the most recent state of art in the development of these two vital components of the intelligent tutoring systems.","2166-0670","978-1-4799-3858-2","10.1109/ISMS.2014.21","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7280882","tutor model; student model; computational techniques;intelligent tutoring systems","Computational modeling;Adaptation models;Education;Computers;Bayes methods;Expert systems","intelligent tutoring systems;learning (artificial intelligence)","computational intelligence approach;student/tutor modelling;intelligent tutoring system;ITS;educational software system;teaching activities;learning activities","","15","","59","IEEE","1 Oct 2015","","","IEEE","IEEE Conferences"
"A practical student model for a location-aware and context-sensitive Personalized Adaptive Learning System","Guangbing Yang; Kinshuk; S. Graf","School of Computing and Information, Athabasca University, Canada; School of Computing and Information, Athabasca University, Canada; School of Computing and Information, Athabasca University, Canada","2010 International Conference on Technology for Education","16 Aug 2010","2010","","","130","133","Student model is an essential component in any adaptive learning environment. Various student modelling approaches have been suggested in the literature that focus on learners' competencies, preferences and other personal attributes. However, there is a lack of a comprehensive student model that combines various aspects of student modelling while also considering the aspects of location and context awareness that are important for emerging ubiquitous learning environments. This paper proposes one such student model in the context of a personalized adaptive learning system, namely Personalized Adaptive Learning Dashboard (PALD), a compound student model bringing together various features of the overlay, fault, and stereotype models to provide a generic approach to modeling student with specific domain related knowledge.","","978-1-4244-7361-8","10.1109/T4E.2010.5550048","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5550048","student model;personalization;adaptation;knowledge;student modeling","Context modeling;Adaptive systems;Learning systems;Adaptation model;Problem-solving;Context awareness;Content management;Environmental management;Knowledge management;Least squares approximation","computer aided instruction;mobile computing","practical student model;adaptive learning system;location awareness;context awareness;ubiquitous learning environments;personalized adaptive learning dashboard;domain related knowledge","","9","","16","IEEE","16 Aug 2010","","","IEEE","IEEE Conferences"
"Design an applied student model for Intelligent Tutoring System","L. -z. Liu; M. -h. Wu; H. Wang; G. -h. Liang","Information Engineering College, Capital Normal University, Beijing, China; Information Engineering College, Capital Normal University, Beijing, China; Information Engineering College, Capital Normal University, Beijing, China; Faculty of Engineering and Information Technology, University of Technology, Sydney, Australia","2009 IEEE International Symposium on IT in Medicine & Education","15 Sep 2009","2009","1","","485","489","Student model is a very important and time-consuming process in intelligent tutoring system. Furthermore, for many Web based educational systems, student personality is hard to apply explicitly. To address this problem, we proposed an approach for combining fuzzy compositive evaluation with Bayesian network to design an applied student model. This article describes improvements made to the method and its application to make corresponding tutoring strategy by reasoning student action that supports useful tutoring services in a practical tutoring system. The proposed framework has been integrated within the discrete mathematics tutor system. We obtain results of an experiment that shows the benefit of the integration of the way.","","978-1-4244-3928-7","10.1109/ITIME.2009.5236371","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5236371","Student Model;Intelligent Tutoring System;Bayesian Network","Intelligent systems;Mathematics;Bayesian methods;Problem-solving;Educational institutions;Computer science education;Computer networks;Educational technology;Educational programs;Context modeling","Bayes methods;fuzzy set theory;intelligent tutoring systems","applied student model;intelligent tutoring system;Web based educational systems;fuzzy compositive evaluation;Bayesian network;discrete mathematics tutor system","","1","","6","IEEE","15 Sep 2009","","","IEEE","IEEE Conferences"
"A review on student modeling approaches in ITS","L. D. Kurup; A. Joshi; N. Shekhokar","D.J. Sanghvi College of Engg, University of Mumbai, India; D.J. Sanghvi College of Engg, University of Mumbai, India; Computer Dept, University of Mumbai, India","2016 3rd International Conference on Computing for Sustainable Global Development (INDIACom)","31 Oct 2016","2016","","","2513","2517","The Intelligent Tutoring System (ITS) is a software system used in the field of education to provide personalized and intelligent tutoring to the students based on their preferences, knowledge, purpose and profile. Based on a general consensus amongst researchers, an ITS consists of four components-domain model, student model, tutoring model and user interface model. Of the four components, student modeling is considered to be the building block in the field of ITS research because it can model the behavior of a tutor by making them understand how students learn. The challenge is to decide the most appropriate sequence of activities that can improve the average learning rate over all the skills. This paper analyses various knowledge tracing methods and empirical methods for optimized prediction of a student's mastery of a skill.","","978-9-3805-4421-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7724714","Bayesian Knowledge Tracing (BKT);Brute-Force Model;Expectation Maximization;Knowledge Components (KC);Performance factor Analysis (PFA);Intelligent Tutoring Systems (ITS)","Bayes methods;Computational modeling;Analytical models;Predictive models;Adaptation models;Electronic mail;Uncertainty","intelligent tutoring systems;user interfaces","student modeling approach;ITS;intelligent tutoring system;student preferences;student knowledge;student purpose;student profile;component-domain model;student model;tutoring model;user interface model;tutor behavior model;student learning;average learning rate improvement;student skills;knowledge tracing methods;empirical methods","","","","13","","31 Oct 2016","","","IEEE","IEEE Conferences"
"Building students' models based on an enhanced concept-effect relationship in intelligent tutoring systems","Yifeng Duan; Hongyan Ren","Institute of Command Automation, People''s Liberation Army University of Science and Technology, Nanjing, China; Institution of Chemistry Education, Nanjing Normal University, Nanjing, China","2011 International Conference on Multimedia Technology","25 Aug 2011","2011","","","5318","5321","The algorithm of an enhanced concept effect relationship is applied into the assessment of chemistry learning (the topic is focus on Redox). The research results indicate that the cognitive level of students' Redox learning can be analyzed effectively and the misconceptions and lacuna in the students' cognitive structure can be measured accurately. Some suggestions of different learning paths are put forward to improve learning effect. Enhanced concept effect relationship is proved to be a good theory to construct students' model in the chemistry intelligent tutor system.","","978-1-61284-774-0","10.1109/ICMT.2011.6002321","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6002321","Enhanced Concept Effect Relationship;Students' Model;Intelligent Tutoring System;Redox","Chemistry;Computational modeling;Learning systems;Mathematical model;Computers;Education","chemistry computing;intelligent tutoring systems","student models;concept-effect relationship;chemistry learning;student Redox learning;student cognitive structure;chemistry intelligent tutor system","","","","11","IEEE","25 Aug 2011","","","IEEE","IEEE Conferences"
"Adaptive navigation with knowledge tracing method","Y. Iqbal; D. Nurjanah","School of Computing, Telkom University, Bandung, Indonesia; School of Computing, Telkom University, Bandung, Indonesia","2016 4th International Conference on Information and Communication Technology (ICoICT)","22 Sep 2016","2016","","","1","6","An adaptive learning system is an alternative learning method for the traditional “one-size-fits-all” approach in learning. With adaptive learning systems a user will get a learning scenario and materials that fit their needs and characteristics. Adaptation is produced by the main components of adaptive learning systems, including the domain, goal, user, adaptation and presentation models. In this paper, we discuss our analysis and design of knowledge tracing, a method for inferencing the user and domain models, which supports knowledge tracing. We implemented a cognitively-oriented domain model represented in a graph and studied the influence of slip, guess, and learning rate parameters, in addition to user's performance, to pCorrect, which is a probability that the user can solve a problem. Our analysis of the algorithm and the experiment results show that slip parameter is inversely proportional to the pCorrect, while guess is directly proportional to pCorrect.","","978-1-4673-9879-4","10.1109/ICoICT.2016.7571879","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7571879","adaptive learning systems;user model;domain model;knowledge tracing;adaptive navigation;slip;guess;learning rate","Adaptation models;Navigation;Adaptive systems;Learning systems;Predictive models;Analytical models;Algorithm design and analysis","computer aided instruction;graph theory;probability;user modelling","adaptive navigation;knowledge tracing method;adaptive learning system;user models;cognitively-oriented domain model;graph theory;slip parameters;guess parameters;learning rate parameters;pCorrect;probability","","1","","16","IEEE","22 Sep 2016","","","IEEE","IEEE Conferences"
"Developing Student Model Using Kohonen Network in Adaptive Hypermedia Learning System","B. Yusob; S. M. H. Shamsuddin; N. B. Ahmad","Faculty of Computer System & Software Engineering, Universiti Malaysia Pahang, Kuantan, Pahang, Malaysia; Soft Computing Research Group, Universiti Teknologi Malaysia, Johor, Malaysia; Soft Computing Research Group, Universiti Teknologi Malaysia, Johor, Malaysia","2009 Ninth International Conference on Intelligent Systems Design and Applications","28 Dec 2009","2009","","","938","943","This paper presents a study on method to develop student model by identifying the students' characteristics in an adaptive hypermedia learning system. The study involves the use of student profiling techniques to identify the features that may be useful to help the researchers have a better understanding of the student in an adaptive learning environment. We propose a supervised Kohonen network with hexagonal lattice structure to classify the student into 3 categories: beginner, intermediate and advance to represent their knowledge level while using the learning system. An experiment is conducted to see the proposed Kohonen network's performances compared to the other types of Kohonen networks in term of learning algorithm and map structure. 10-fold cross validation method is used to validate the network performances. Results from the experiment shows that the proposed Kohonen network produces an average percentage of accuracy, 81.3889% in classifying the simulated data and 51.6129% when applied to the real student data.","2164-7151","978-1-4244-4735-0","10.1109/ISDA.2009.103","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5364389","Hypermedia Learning;Kohonen;Student Model","Adaptive systems;Learning systems;Computer networks;Educational technology;Turing machines;Lattices;Intelligent systems;Intelligent networks;Application software;Software engineering","computer aided instruction;hypermedia","student model;adaptive hypermedia learning system;student profiling techniques;adaptive learning environment;supervised Kohonen network;lattice structure","","","","10","IEEE","28 Dec 2009","","","IEEE","IEEE Conferences"
