Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Domain-General Tutor Authoring with Apprentice Learner Models","MacLellan, Christopher J.; Koedinger, Kenneth R.","International Journal of Artificial Intelligence in Education",="15604292",,="20220301","32","1","76",,"EJ1328308","10.1007/s40593-020-00214-2",,"Journal Articles","Intelligent Tutoring Systems; Artificial Intelligence; Models; Instructional Design",,"Intelligent tutoring systems are effective for improving students' learning outcomes (Pane et al. 2013; Koedinger and Anderson, ""International Journal of Artificial Intelligence in Education,"" 8, 1-14, 1997; Bowen et al. ""Journal of Policy Analysis and Management,"" 1, 94-111 2013). However, constructing tutoring systems that are pedagogically effective has been widely recognized as a challenging problem (Murray 2003; Murray, ""International Journal of Artificial Intelligence in Education,"" 10, 98-129, 1999). In this paper, we explore the use of computational models of apprentice learning, or computer models that learn interactively from examples and feedback, for authoring expert-models via demonstrations and feedback (Matsuda et al. ""International Journal of Artificial Intelligence in Education,"" 25(1), 1-34 2014) across a wide range of domains. To support these investigations, we present the Apprentice Learner Architecture, which posits the types of knowledge, performance, and learning components needed for apprentice learning. We use this architecture to create two models: the Decision Tree model, which non-incrementally learns skills, and the Trestle model, which instead learns incrementally. Both models draw on the same small set of prior knowledge (six operators and three types of relational knowledge) to support expert model authoring. Despite their limited prior knowledge, we demonstrate their use for efficiently authoring a novel experimental design tutor and show that they are capable of learning an expert model for seven additional tutoring systems that teach a wide range of knowledge types (associations, categories, and skills) across multiple domains (language, math, engineering, and science). This work shows that apprentice learner models are efficient for authoring tutors that would be difficult to build with existing non-programmer authoring approaches (e.g., experimental design or stoichiometry tutors). Further, we show that these models can be applied to author tutors across eight tutor domains even though they only have a small, fixed set of prior knowledge. This work lays the foundation for new interactive machine-learning based authoring paradigms that empower teachers and other non-programmers to build pedagogically effective educational technologies at scale.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=EJ1328308&site=ehost-live&scope=site"
"Investigating the impact of eliciting and being responsive to students' initial ideas on productive disciplinary engagement across a unit.","Gray, Ron; Rogan‐Klyve, Allyson; Canipe, Martha M.","Science Education",="00368326",,="Mar2022","106","2","312","23","155131305","10.1002/sce.21701","Wiley-Blackwell","Article","MIDDLE school teachers; PLATE tectonics","productive disciplinary engagement; scientific models; teaching responsively","In this study, we examined the ways in which two middle school science teachers elicited and were responsive to students' initial science ideas for explaining an anchoring phenomenon while teaching the same model‐based learning unit focused on plate tectonics. Data sources included student models, classroom video, and classroom artifacts. Our analysis revealed a connection between the elicitation of initial ideas, teacher responsiveness to those ideas, and the continued use of those ideas by the students across the unit as evidenced in their individually constructed models. In both classrooms, variation in initial ideas seen on the first day narrowed as students engaged in activities designed to challenge their ideas and present the scientifically accepted explanation of the phenomenon. In one classroom, however, far more ideas were surfaced early, and those ideas were utilized by students as they made sense of the phenomenon. In the other classroom, far fewer ideas were surfaced early and those that were all but disappeared once the unit activities began suggesting student ideas were less likely to be utilized as a sense‐making resource. This study contributes to a growing understanding of the importance of eliciting and responding to students' initial ideas in students' productive disciplinary engagement across an instructional unit. [ABSTRACT FROM AUTHOR] Copyright of Science Education is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=asn&AN=155131305&site=ehost-live&scope=site"
"HELP-DKT: an interpretable cognitive model of how students learn programming based on deep knowledge tracing.","Liang Y; Peng T; Pu Y; Wu W","Scientific reports",="2045-2322",,="2022 Mar 07","12","1","4012",,"35256727","10.1038/s41598-022-07956-0","Nature Publishing Group","Journal Article","Learning; Students psychology; Cognition; Feedback; Humans",,"Student cognitive models are playing an essential role in intelligent online tutoring for programming courses. These models capture students' learning interactions and store them in the form of a set of binary responses, thereby failing to utilize rich educational information in the learning process. Moreover, the recent development of these models has been focused on improving the prediction performance and tended to adopt deep neural networks in building the end-to-end prediction frameworks. Although this approach can provide an improved prediction performance, it may also cause difficulties in interpreting the student's learning status, which is crucial for providing personalized educational feedback. To address this problem, this paper provides an interpretable cognitive model named HELP-DKT, which can infer how students learn programming based on deep knowledge tracing. HELP-DKT has two major advantages. First, it implements a feature-rich input layer, where the raw codes of students are encoded to vector representations, and the error classifications as concept indicators are incorporated. Second, it can infer meaningful estimation of student abilities while reliably predicting future performance. The experiments confirm that HELP-DKT can achieve good prediction performance and present reasonable interpretability of student skills improvement. In practice, HELP-DKT can personalize the learning experience of novice learners. © 2022. The Author(s).","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cmedm&AN=35256727&site=ehost-live&scope=site"
"DSLN: Dual-tutor student learning network for multiracial glaucoma detection.","Guo, Yanfei; Peng, Yanjun; Sun, Jindong; Li, Dapeng; Zhang, Bin","Neural Computing & Applications",="09410643",,="Mar2022",,,"1",,"155582950","10.1007/s00521-022-07078-8","Springer Nature","Article",,"Deep learning; Domain shift; Dual-tutor student model; Glaucoma detection; Multiracial fundus images","Accurate early glaucoma detection is crucial to prevent further vision loss. However, using the off-the-shelf models against fundus image datasets of different races may lead to degraded performance due to domain shift. To address the issue, this paper proposes a dual-tutor student learning network (DSLN) for multiracial glaucoma detection. The proposed DSLN consists of an inter-image tutor, an intra-image tutor, student model and backbone network, which combines the advantages of domain adaptation and semi-supervised learning. The inter-image tutor uses CycleGAN for style transfer to reduce the appearance differences between labeled source domain and labeled target domain images, and transfers the learned knowledge to the student model by minimizing knowledge distillation loss. The intra-image tutor adopts the exponential moving average to leverage the unlabeled target domain and transfers the knowledge to the student model by minimizing prediction consistency loss. Moreover, the student model not only directly learns knowledge from the labeled target domain images, but also learns the intra-image knowledge and inter-image knowledge transfer by two tutors. Furthermore, the backbone integrates the context features of the local optic disc region and global fundus image via modified ResNet50. We conduct extensive experiments on three scenarios constructed from nine public fundus image datasets of three races. Comprehensive experimental results show that the proposed DSLN framework outperforms the state-of-the-art models and has good robustness and generalization: it can effectively overcome domain shift and accurately detect glaucoma from multi-ethnic fundus images. [ABSTRACT FROM AUTHOR] Copyright of Neural Computing & Applications is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=155582950&site=ehost-live&scope=site"
"Student performance prediction, risk analysis, and feedback based on context-bound cognitive skill scores.","MD, Soumya; Krishnamoorthy, Shivsubramani","Education & Information Technologies",="13602357",,="Apr2022","27","3","3981","25","156295864","10.1007/s10639-021-10738-2","Springer Nature","Article","Student attitudes; Cognitive ability; Higher education; Computer algorithms; Generalization","Cognitive skills; Educational data mining; Learning analytics; Student performance classification","In recent times, Educational Data Mining and Learning Analytics have been abundantly used to model decision-making to improve teaching/learning ecosystems. However, the adaptation of student models in different domains/courses needs a balance between the generalization and context specificity to reduce the redundancy in creating domain-specific models. This paper explores the predictive power and generalization of a feature - context-bound cognitive skill score- in estimating the likelihood of success or failure of a student in a traditional higher education course so that the appropriate intervention is provided to help the students. To identify the students at risk in different courses, we applied classification algorithms on context-bound cognitive skill scores of a student to estimate the chances of success or failure, especially failure. The context-bound cognitive skill scores were aggregated based on the learning objective of a course to generate meaningful visual feedback to teachers and students so that they can understand why some students are predicted to be at risk. Evaluation of the generated model shows that this feature is applicable in a range of courses, and it mitigates the effort in engineering features/models for each domain. We submit that overall, context-bound cognitive skill scores prove to be effective in flagging the student performance when the accurate metrics related to learning activities and social behaviors of the students are unavailable. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=156295864&site=ehost-live&scope=site"
"The Community of Learners in an Asynchronous Online Learning Environment: an Illustrative Case Study in Graduate Courses","Choi, Beomkyu","Journal of Educational Technology",="09730559",,="20220401","19","1","7",,"EJ1355173",,,"Journal Articles","Online Courses; Asynchronous Communication; Communities of Practice; Metacognition; Graduate Students; Learning Processes; Teaching Methods; Sociocultural Patterns; Higher Education; Independent Study; Goal Orientation; Student Attitudes; Evaluation Methods; Learning Analytics; Diaries; Student Participation; Information Technology",,"Online learning has been growing steadily as an essential instructional mode in most higher education settings. In response to its popularity, many studies have been conducted to provide a better understanding of how learning occurs in this environment. Various frameworks and theories have been adopted to examine learning in this environment. Drawing upon the community of learner model, the present study aimed to expand the understanding of online learning, moving more toward a situative, sociocultural approach to learning from an individualistic, self-regulated approach to learning. This study examined two graduate online courses as cases to illustrate how learning as a collective process of participation in activities work in an asynchronous online learning environment. The findings of this study could help expand and deepen the discourse on how everyone learn in online learning environments, providing a new approach to examining teaching and learning in online learning environments from a more situative, sociocultural perspective.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=EJ1355173&site=ehost-live&scope=site"
"Adaptive Artificial Intelligent Technique to Improve Acquisition of Knowledge in the Educational Environment.","Zang, Juanjuan; Gowthami, J.; Anilkumar, Chunduru","Journal of Interconnection Networks",="02192659",,="2022Supplement","22",,"1","20","159652125","10.1142/S0219265921430131","World Scientific Publishing Company","Article","SCHOOL environment; ARTIFICIAL intelligence; EDUCATIONAL technology; CRITICAL thinking; CREATIVE thinking","Artificial intelligence; cognitive; creative; deprivation; emotional skills; learning achievement model; risk student estimate algorithm","It is now possible to make the logical thinking of humans, computer-controlled robots, and technology on the educational Environment platform by using artificial intelligence. These method-based robotic systems begin replacing human resources in all industries, which helps resolve various characteristic difficulties that include emotional skills, creative thinking, cognitive, and depletion in the educational platform. The Adaptive Artificial Intelligence Technique (AAIT) has been refined in this study to fulfill the learning objective of increased higher-order learning and skill acquisition in the Educational Environment. It enables more intelligent decision-making by taking into account all essential aspects of a company. As a result, big data plays a crucial role in today's businesses. A powerful tool for proactive and automated management when combined with artificial intelligence (AI). Saving time and money by automating and optimizing routine tasks may be possible for your business with the right AI technology. Productivity and operational efficiencies will be increased. Use cognitive technologies to make faster business decisions. Therefore, the learning achievement model (LAM) and Risk Student Model (RSM) are established on the educational environment platform. As well as optimizing interpersonal resilience, the Learning Achievement Model is also utilized to increase innovative abilities in the Educational Platform. In the Danger Class Diagram, the Estimation Algorithm reduces the risk of learning failure, enhances cognition, and deprives the recognizing platform. Experiments and simulations are conducted to determine the reliability of the proposed framework based on the accuracy, F-Means, Sensitivity, specificity, and Performance (SSP). [ABSTRACT FROM AUTHOR] Copyright of Journal of Interconnection Networks is the property of World Scientific Publishing Company and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=asn&AN=159652125&site=ehost-live&scope=site"
"Bi-CLKT: Bi-Graph Contrastive Learning based Knowledge Tracing.","Song, Xiangyu; Li, Jianxin; Lei, Qi; Zhao, Wei; Chen, Yunliang; Mian, Ajmal","Knowledge-Based Systems",="09507051",,="Apr2022","241",,"N.PAG","1","155456173","10.1016/j.knosys.2022.108274","Elsevier B.V.","Article","DEEP learning; RECURRENT neural networks; INTELLIGENT tutoring systems","Contrastive learning; Deep knowledge tracing; Graph neural network; Intelligent tutoring systems; Self-supervised learning","The goal of Knowledge Tracing (KT) is to estimate how well students have mastered a concept based on their historical learning of related exercises. The benefit of knowledge tracing is that students' learning plans can be better organised and adjusted, and interventions can be made when necessary. With the recent rise of deep learning, Deep Knowledge Tracing (DKT) has utilised Recurrent Neural Networks (RNNs) to accomplish this task with some success. Other works have attempted to introduce Graph Neural Networks (GNNs) and redefine the task accordingly to achieve significant improvements. However, these efforts suffer from at least one of the following drawbacks: (1) they pay too much attention to details of the nodes rather than to high-level semantic information; (2) they struggle to effectively establish spatial associations and complex structures of the nodes; and (3) they represent either concepts or exercises only, without integrating them. Inspired by recent advances in self-supervised learning, we propose a Bi -Graph C ontrastive L earning based K nowledge T racing (Bi-CLKT) to address these limitations. Specifically, we design a two-layer comparative learning scheme based on an ""exercise-to-exercise"" (E2E) relational subgraph. It involves node-level contrastive learning of subgraphs to obtain discriminative representations of exercises, and graph-level contrastive learning to obtain discriminative representations of concepts. Moreover, we designed a joint contrastive loss to obtain better representations and hence better prediction performance. Also, we explored two different variants, using RNN and memory-augmented neural networks as the prediction layer for comparison to obtain better representations of exercises and concepts respectively. Extensive experiments on four real-world datasets show that the proposed Bi-CLKT and its variants outperform other baseline models. [ABSTRACT FROM AUTHOR] Copyright of Knowledge-Based Systems is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=155456173&site=ehost-live&scope=site"
"Effectiveness of English Online Learning Based on Deep Learning.","Xu J; Liu Y; Liu J; Qu Z","Computational intelligence and neuroscience",="1687-5273",,="2022 Apr 13","2022",,"1310194",,"35463277","10.1155/2022/1310194","Hindawi Pub. Corp","Journal Article","Deep Learning; Education, Distance; Algorithms; Cluster Analysis; Humans; Students",,"With the popularization of the Internet lifestyle and the innovation of learning methods, more and more online learning systems have emerged, allowing users to study in the system anytime and anywhere. While providing convenience to users, online learning systems also bring troubles to users, who cannot quickly find the resources they are interested in from the huge amount of learning resources. In this paper, we apply deep learning to an English online learning platform and analyze learners and learning contents by clustering algorithm and association rules. Based on this, a content organization system is developed using genetic algorithms, which is applied to the case of this paper to provide learners with personalized learning content. With the hope that the system can be extended to other online learning platforms in the future, three data mining techniques were selected to solve the problems found in the English online learning platform, and we designed how these techniques should be applied to the online learning platform. The first technique is the cluster mining technique, which is used to analyze learners' profiles, classify learners in different categories, provide them with personalized learning content, and organize group learning. The second technique is association rules, which is used to analyze the correlation between learning contents. For the adaptive student-teacher knowledge migration strategy, the teacher model can guide the student model to track online and migrate the task-specific knowledge to the online tracking student model through the network parameters. Finally, a case study is selected and the above design is applied to this case study, and the results are analyzed in detail. The data mining technology is applied to the English online learning platform, and an innovative English learning content organization system is developed. It is hoped that the results of this study will have some practical value for promotion and provide an idea for the construction of the online learning platform, and it is also expected that the idea can improve the quality of online learning to a certain extent. Specifically, the online student model is adaptively updated by the teacher model parameters and the online student model parameters together. Competing Interests: The authors declare that there are no conflicts of interest. Copyright © 2022 Jie Xu et al.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cmedm&AN=35463277&site=ehost-live&scope=site"
"Tracking knowledge proficiency of students with calibrated Q-matrix.","Wang, Wentao; Ma, Huifang; Zhao, Yan; Li, Zhixin; He, Xiangchun","Expert Systems with Applications",="09574174",,="Apr2022","192",,"N.PAG","1","154789874","10.1016/j.eswa.2021.116454","Elsevier B.V.","Article","STUDENTS; INTELLIGENT tutoring systems","Calibrated Q-matrix; Graph convolution network; High-order connectivity; Knowledge tracing","• A new calibrated Q-matrix-based framework is designed for knowledge tracing. • The relationships between exercises and knowledge points are deeply explored. • Three Q-matrix calibration methods are proposed to eliminate the bias in Q-matrix. • The diagnosis results are applied on three educational tasks. With the emergence of intelligent educational systems, numerous research works are dedicated to Knowledge Tracing (KT), which refers to the issue of diagnosing students' changing knowledge proficiency in exercises. Recent developments in KT have yielded immense success on this task and they mainly use sophisticated and flexible deep neural network-based models to fully exploit the interaction information between students and response logs. However, these models either ignore the significance of Q-matrix associated exercises with knowledge concepts (KCs) or fail to avoid the subjective tendency of experts within the Q-matrix. To tackle these problems, in this paper, we devise a novel Calibrated Q-matrix-based Knowledge Tracing (CQKT) framework to track knowledge proficiency of students dynamically in KT. To be specific, for the original Q-matrix, we primarily strive to capture the high-order connectivity between exercises and KCs to obtain potential KCs of each exercise by utilizing graph convolution network. Then, three Q-matrix calibration methods based on a pairwise Bayesian treatment equipped with potential KCs are adopted to refine and calibrate the raw Q-matrix so that the subjective tendency of the Q-matrix defined by domain experts can be weakened. After that, the embedding of each exercise aggregated the calibrated Q-matrix with historical student interactions is injected into the Long Short-Term Memory (LSTM) network to trace students' knowledge states. Extensive experiments are conducted on three real-world benchmark datasets and the results show the superiority of CQKT. In particular, we demonstrate its practicability via applying it to three fundamental educational tasks, including score prediction, knowledge state estimation, and diagnosis result visualization. [ABSTRACT FROM AUTHOR] Copyright of Expert Systems with Applications is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=asn&AN=154789874&site=ehost-live&scope=site"
"Design and Implementation of Tourism Teaching System Based on Artificial Intelligence Technology.","Xing Y","Computational intelligence and neuroscience",="1687-5273",,="2022 Apr 23","2022",,"5298530",,"35502357","10.1155/2022/5298530","Hindawi Pub. Corp","Journal Article","Artificial Intelligence; Tourism; Humans; Learning; Students; Technology",,"The tourism teaching system provides all kinds of teaching resources for students and shares good teachers, which greatly improves the quality of teaching and learning, and it enables students to teach and learn randomly in the system. The mode of educational information dissemination has also changed, resulting in great changes in educational models, ideas, and methods. The tourism teaching system overcomes the shortcomings of traditional education. In the 21 st century, the means of education and teaching will be ITS-based, and technology will be used to optimize teaching. With the rapid development of network technology, it has been widely used in the field of education, and the way of educational information dissemination has also changed, which has led to great changes in educational models, concepts, and methods. Therefore, the combination of artificial intelligence technology and tourism teaching system is the focus of current educational research. In this paper, the tourism teaching system is designed based on artificial intelligence technology. Combined with the application status of the tourism teaching system in education, a personalized cognitive student model is designed by combining artificial intelligence technology with student behavior analysis, and an intelligent and personalized educational environment is developed. Design and implement a simple web-based tourism teaching system, use a personalized cognitive student model to model students, and use an expert question bank and self-built question bank to test students' learning to provide a basis for students' next learning. Competing Interests: The author declares that there are no conflicts of interest. Copyright © 2022 Yanhua Xing.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=cmedm&AN=35502357&site=ehost-live&scope=site"
"Roles and research trends of artificial intelligence in higher education: A systematic review of the top 50 most-cited articles.","Hui-Chun Chu; Gwo-Haur Hwang; Yun-Fang Tu; Kai-Hsiang Yang","Australasian Journal of Educational Technology",="14493098",,="2022","38","3","22","21","158711017","10.14742/ajet.7526","Australasian Journal of Educational Technology (AJET)","Article","Intelligent tutoring systems; Artificial intelligence; Higher education; Academic achievement; Science databases; Web databases","adaptive systems and personalisation; artificial intelligence (AI); assessment and evaluation; higher education; intelligent tutoring systems; profiling and prediction","Artificial intelligence (AI) in higher education has proven to be a useful learning technology; it can help learners achieve positive learning outcomes in the learning environment and can also enable teachers to better understand learners' learning status and further improve their teaching strategies. This study reviewed the top 50 AI in higher education studies in the Web of Science database from the perspective of highly cited papers and based on a technologybased learning model. The results show that predictions of learners' learning status (including dropout and retention, student models, and academic achievement) are most frequently discussed in the AI in higher education studies; AI technology is most commonly applied in engineering (including computer courses); AI technologies most often play the role of profiling and prediction in higher education, followed by intelligent tutoring systems and assessment and evaluation. In terms of research issues, the most frequently discussed issues are learning behaviour, accuracy, sensitivity and precision, cognition and affect. Learners' higher order thinking skills, collaboration or communication, self-efficacy or confidence and skills are less frequently discussed in AI in higher education studies. Accordingly, we propose potential research issues and practitioner notes for AI in higher education as a reference for researchers, educators and decision-makers. [ABSTRACT FROM AUTHOR]","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eft&AN=158711017&site=ehost-live&scope=site"
"Understanding the Interaction between Technology and the Learner: The Case of DLL.","Li, Ping; Lan, Yu-Ju","Bilingualism: Language & Cognition",="13667289",,="May2022","25","3","402","4","157157156","10.1017/S1366728921000948","Cambridge University Press","Article","TONE (Phonetics); SECOND language acquisition; LANGUAGE ability; CHINESE language students; COMPUTER assisted language instruction","digital language learning; individual difference; personalized learning and big data; technology and learning","Personalized learning through DLL In authentic DLL contexts, learners' learning logs accompanied by long-term portfolios can be automatically saved and analyzed in DLL, to provide the basis for constructing student models and precise and personalized progress indices. As we elaborated in section 4.4 of the KA, understanding the neural substrates of DLL will not only provide further evidence on the impacts of DLL, but also a window into how brain changes might reflect the various cognitive and social dimensions of DLL. Keywords: digital language learning; technology and learning; personalized learning and big data; individual difference EN digital language learning technology and learning personalized learning and big data individual difference 402 405 4 06/01/22 20220501 NES 220501 Introduction In our Keynote Article (henceforth KA) we outlined the DLL framework for using cutting-edge digital technologies to enhance second language (L2) learning and representation. [Extracted from the article] Copyright of Bilingualism: Language & Cognition is the property of Cambridge University Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=157157156&site=ehost-live&scope=site"
"Innovative Research on College English Teaching Mode Based on Strategy Reasoning Mechanism.","Huang, Jingjing","Scientific Programming",="10589244",,="5/29/2022",,,"1","8","157121543","10.1155/2022/2197224","Hindawi Limited","Article","COLLEGE teaching; ARTIFICIAL intelligence; INSTRUCTIONAL innovations; TEACHING methods; TEACHING models",,"In the era of artificial intelligence, the traditional English teaching methods cannot meet the increasing demand of course learning at this stage. Therefore, in this paper, a brand-new English teaching model based on strategic reasoning mechanism is designed by analyzing the problems faced by construction of network curriculum in universities. By introducing the idea of artificial intelligence, the student model and teacher model are designed, and the separation of teaching content and teaching strategy is realized. The development of the system adopts B/S structure and relies on lightweight J2EE multitier framework. At the same time, the overall architecture, functions, and processes of the teaching system are analyzed and designed. The system is convenient to transplant and expand, which has certain practical value and can provide reference for the design of various teaching systems and the innovation of teaching modes. [ABSTRACT FROM AUTHOR] Copyright of Scientific Programming is the property of Hindawi Limited and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=asn&AN=157121543&site=ehost-live&scope=site"
"LearnEval Peer Assessment Platform: Iterative Development Process and Evaluation","Badea, Gabriel; Popescu, Elvira","IEEE Transactions on Learning Technologies",,,="20220601","15","3","421",,"EJ1344441","10.1109/TLT.2022.3185423",,"Journal Articles","Peer Evaluation; Evaluation Methods; Educational Technology; Technology Uses in Education; Student Behavior; Validity; Grades (Scholastic); Learning Experience; Student Satisfaction",,"Peer assessment is a valuable educational activity, which promotes learner engagement and critical thinking, while also decreasing the time spent by the teachers on evaluating students' work. Over the past decades, several platforms have been proposed to support the peer assessment process. The current landscape is dominated by special-purpose, context-specific peer evaluation systems, which were designed to support a particular type of learning activity, artifact, or discipline. In this article, we propose an alternative, a generic and comprehensive peer assessment platform, called LearnEval, which is very flexible and able to accommodate a variety of pedagogical scenarios. Distinctive functionalities include: highly configurable peer assessment workflow, several automatic and manual review allocation mechanisms, initial calibration/training options for the students, complex dashboard with statistics, scores and graphical visualizations, as well as an extensive open learner model. The platform was developed in an iterative manner, with several extensions and improvements informed by the findings of the initial pilot studies. The article also reports on a practical application of LearnEval in a project-based learning scenario, with very promising results; multiple perspectives of the peer assessment process are analyzed: student behavior, peer grades validity, and perceived learning experience. Comparative results with an earlier study show increased levels of system usability, grading validity, and student satisfaction.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=EJ1344441&site=ehost-live&scope=site"
"Detecting Threshold Concepts through Bayesian Knowledge Tracing: Examining Research Skill Development in Biological Sciences at the Doctoral Level","Kang, Jina; Baker, Ryan; Feng, Zhang; Na, Chungsoo; Granville, Peter; Feldon, David F.","Instructional Science: An International Journal of the Learning Sciences",="00204277",,="20220601","50","3","475",,"EJ1336809","10.1007/s11251-022-09578-5",,"Journal Articles","Fundamental Concepts; Bayesian Statistics; Learning Processes; Research Skills; Skill Development; Biological Sciences; Doctoral Students; Knowledge Level; Predictor Variables; Scores",,"Threshold concepts are transformative elements of domain knowledge that enable those who attain them to engage domain tasks in a more sophisticated way. Existing research tends to focus on the identification of threshold concepts within undergraduate curricula as challenging concepts that prevent attainment of subsequent content until mastered. Recently, threshold concepts have likewise become a research focus at the level of doctoral studies. However, such research faces several limitations. First, the generalizability of findings in past research has been limited due to the relatively small numbers of participants in available studies. Second, it is not clear which specific skills are contingent upon mastery of identified threshold concepts, making it difficult to identify appropriate times for possible intervention. Third, threshold concepts observed across disciplines may or may not mask important nuances that apply within specific disciplinary contexts. The current study therefore employs a novel Bayesian knowledge tracing (BKT) approach to identify possible threshold concepts using a large data set from the biological sciences. Using rubric-scored samples of doctoral students' sole-authored scholarly writing, we apply BKT as a strategy to identify potential threshold concepts by examining the ability of performance scores for specific research skills to predict score gains on other research skills. Findings demonstrate the effectiveness of this strategy, as well as convergence between results of the current study and more conventional, qualitative results identifying threshold concepts at the doctoral level.","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=eric&AN=EJ1336809&site=ehost-live&scope=site"
"Smarter peer learning for online knowledge distillation.","Lin, Yu-e; Liang, Xingzhu; Hu, Gan; Fang, Xianjin","Multimedia Systems",="09424962",,="Jun2022","28","3","1059","9","156676908","10.1007/s00530-022-00888-9","Springer Nature","Article","ONLINE education; MACHINE learning; LEARNING strategies; PEERS; ORGANIC chemistry","Knowledge distillation; Knowledge transfer; Mutual learning; Online distillation","Model distillation is an effective way to let a less-parameterized student model learn the knowledge of a large teacher model. It requires a well-trained and high-performance model in advance, which limits the application of the deep model in some multimedia devices. However, the powerful teacher is not always available. Given this, some researchers propose a strategy of learning from each student model to replace the traditional teacher–student learning paradigm. Although this way has achieved good results recently, the simple mutual learning between student networks is easy to reach saturation earlier. In this work, we propose a smarter mutual learning method called Smarter Peer Learning (SPL) for online knowledge distillation, which puts forward a weight evaluation mechanism to build a virtual teacher and a novel online distillation framework. The ensemble teacher is constructed by combining the output of student networks through the calculated weight so that students will learn more from the better performance peers in the next stage of the learning. The experiments show that our SPL can train more efficient students than some existing advanced methods by applying various backbone networks to CIFAR-10, CIFAR-100, and Tiny-ImageNet datasets. [ABSTRACT FROM AUTHOR] Copyright of Multimedia Systems is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)","https://proxy2.library.illinois.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=156676908&site=ehost-live&scope=site"
